image_path,CAPTION,DETAILED_CAPTION,MORE_DETAILED_CAPTION
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG41N1199369213.jpg,{'<CAPTION>': 'A little girl sitting at a desk with her arms up in the air.'},"{'<DETAILED_CAPTION>': 'The image shows a little girl sitting at a desk with her arms up in the air, surrounded by books, pencils, and other objects on the table. In the background, there are bookshelves filled with books and plants, and a watermark on the image.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young girl sitting at a desk with her arms raised in the air. She is wearing a green and white checkered dress and has a big smile on her face. On the desk, there is a book, a pencil, and a stack of books. Behind the girl, there are bookshelves and a plant. The girl appears to be happy and excited, with her fists raised in celebration.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG41530076764.jpg,{'<CAPTION>': 'A young girl sitting at a desk in a classroom raising her hand.'},"{'<DETAILED_CAPTION>': 'The image shows two young girls sitting at a desk in a classroom. The girl in the foreground is wearing a pink and white dress and is holding a book in her hand. On the desk in front of her is a book and a pen. In the background, there is another girl sitting on a chair and writing on a piece of paper attached to the wall. To the left of the desk is a cupboard with various objects on it.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows two young girls in a classroom. The girl in the foreground is a young girl with blonde hair and a pink apron, sitting at a desk with a notebook and pen in front of her. She is smiling and raising her right hand up in the air with a big smile on her face. In the background, there is another girl sitting at her desk with her arms raised in a celebratory gesture. The walls of the classroom are decorated with colorful posters and artwork. The overall mood of the image is one of joy and excitement.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG41N82559607.jpg,{'<CAPTION>': 'A young boy sitting at a desk with his hand up in the air.'},"{'<DETAILED_CAPTION>': 'The image shows a young boy sitting at a desk with his hand up in the air, wearing a white shirt. On the desk in front of him are several colored pencils and a piece of paper. In the background, there is a globe on a table and a board attached to the wall.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young boy sitting at a desk in a classroom. He is wearing a white collared shirt and has a big smile on his face. The boy is raising his right hand up in the air with his fingers spread out. On the desk in front of him, there are several colored pencils and a piece of paper. In the background, there is a green chalkboard and a globe on a desk. The overall mood of the image is cheerful and happy.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG41N140301962.jpg,{'<CAPTION>': 'A little boy sitting at a desk with his hand up in the air.'},"{'<DETAILED_CAPTION>': 'The image shows a young boy sitting at a desk with his hand up in the air, wearing a blue and white t-shirt. On the desk in front of him is a book, and in the background is a green board attached to the wall.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young boy sitting at a desk in a classroom. He is wearing a blue and white striped t-shirt and has blonde curly hair. The boy is holding a green marker in his right hand and is raising his index finger up in the air with a big smile on his face. In front of him, there is an open book on the desk. In the background, there are two globes and a green chalkboard on the wall. The overall mood of the image is cheerful and happy.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG21gic20054228.jpg,{'<CAPTION>': 'A group of children sitting at desks in a classroom.'},"{'<DETAILED_CAPTION>': 'The image shows a group of three children sitting at desks in front of a blackboard. The boy in the center is wearing a white shirt and is smiling, while the other two children are holding pencils. On the desks are books and other objects, and the blackboard behind them has something written on it.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young boy sitting at a desk in a classroom. He is wearing a white collared shirt and has a big smile on his face. He has his hand on his forehead and is looking directly at the camera. Behind him, there are two other children, a boy and a girl, who are also sitting at the desk. The boy on the left is holding a pencil and appears to be writing something on a piece of paper. The girl on the right is looking at the boy with a curious expression. The background is blurred, but it seems like the classroom is well-lit with natural light coming in from the windows.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG211154035958.jpg,{'<CAPTION>': 'a young girl sitting at a desk with her hand up in the air'},"{'<DETAILED_CAPTION>': 'The image shows a Japanese schoolgirl sitting at a desk in a classroom, waving her hand. She is wearing a white shirt and a bow tie, and there are several books on the desk in front of her. In the background, there are a few more tables and a white wall.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young girl sitting at a desk in a classroom. She is wearing a white shirt and a black bow tie. She has shoulder-length dark hair and is smiling at the camera. The girl is raising her right hand up in the air, as if she is waving to someone. There are books and a notebook on the desk in front of her. The background is blurred, but it appears to be a classroom with rows of desks and a whiteboard on the wall.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG2156cc37f73.jpg,{'<CAPTION>': 'A group of children raising their hands in a classroom.'},"{'<DETAILED_CAPTION>': 'The image shows a group of children sitting at desks in a classroom, raising their hands in the air. On the tables in front of them are books and other objects, and on the wall behind them is a board with something written on it.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a group of children in a classroom, with their hands raised in the air. The child in the foreground is a young girl with dark hair and bangs, wearing a red and black striped sweater. She is looking directly at the camera with a serious expression on her face. Behind her, there are other children sitting at desks with their arms raised above their heads. The background is blurred, but it appears to be a classroom with a chalkboard on the wall.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG21165c9bc46.jpg,{'<CAPTION>': 'A young girl raising her hand in a classroom.'},"{'<DETAILED_CAPTION>': 'The image shows a young girl sitting at a desk with her hands up in the air, smiling. On the desk in front of her are books, and in the background there is a board and a clock on the wall. There is also a watermark on the image.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young girl, probably around 6-7 years old, sitting at a desk in a classroom. She is wearing a blue school uniform with a white apron and has her hair tied up in a ponytail. The girl is smiling and waving her right hand in the air with a big smile on her face. In the background, there is a blackboard and a colorful bulletin board. The image appears to be taken in a school or classroom setting.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG211319742233.jpg,{'<CAPTION>': 'A young girl sitting at a desk in front of a blackboard.'},"{'<DETAILED_CAPTION>': 'The image shows a young girl sitting at a desk in front of a blackboard, with a book and pen on the table in the foreground. In the background, there is a wall with a window and a globe, and a watermark on the right side of the image. The girl appears to be in a classroom setting, suggesting that she is in the middle of a lesson.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a young girl sitting at a desk in a classroom. She is wearing a blue and white school uniform with a black and white chevron pattern. She has long dark hair tied up in a ponytail and is smiling at the camera. The girl is holding up a peace sign with her right hand and has a notebook open in front of her. Behind her, there is a green chalkboard and a globe on the wall. The room appears to be well-lit with natural light coming in from the windows.'}"
/home/huqianghui/florence_inference-finetune/人物图/举手/VCG21gic20054064.jpg,{'<CAPTION>': 'A group of children sitting at a desk in a classroom.'},"{'<DETAILED_CAPTION>': 'The image shows a group of three children sitting at desks in a classroom. The boy in the center is wearing a white shirt and is holding a pencil in his hand, while the other two children are wearing white shirts. On the desks in front of them are books and other objects, and in the background is a green board.'}","{'<MORE_DETAILED_CAPTION>': 'The image shows a group of three young children, two boys and a girl, sitting at a desk in a classroom. The boy in the foreground is a young Asian boy with short dark hair and a white shirt. He is sitting at the desk with his hand on his ear, as if he is listening intently to something. He has a smile on his face and is looking off to the side. Behind him, there is a green chalkboard and a window with white curtains. The other two children are also sitting at desks with notebooks and pencils in front of them. They appear to be focused on their work.'}"
